Name	Status	NCBI_TaxID	ICTV
Marine virus AFVG_250M140	NCBI_only	2693266	.
Marine virus AFVG_250M141	NCBI_only	2693267	.
Marine virus AFVG_250M142	NCBI_only	2693268	.
CRESS virus sp. ctWOo3	NCBI_only	2656678	.
Marine virus AFVG_250M144	NCBI_only	2693270	.
Marine virus AFVG_250M145	NCBI_only	2693271	.
Pepper geminivirus	NCBI_only	31603	.
Marine virus AFVG_250M147	NCBI_only	2693273	.
Pancake tortoise adenovirus	NCBI_only	1215920	.
Human rhinovirus KR2261	NCBI_only	611751	.
Human rhinovirus KR2264	NCBI_only	611752	.
Marine virus AFVG_250N00229	NCBI_only	2574132	.
Marine virus AFVG_250N00226	NCBI_only	2574131	.
Enterobacteria phage vB_EcoS_IME167	NCBI_only	2163885	.
Marine virus AFVG_250N00224	NCBI_only	2574129	.
Marine virus AFVG_250N00225	NCBI_only	2574130	.
Marine virus AFVG_250N00223	NCBI_only	2574128	.
Marine virus AFVG_250N00220	NCBI_only	2574127	.
Wuhan asiatic toad influenza virus	NCBI_only	2116482	.
Streptococcus phage ST64	NCBI_only	102146	.
Shigella phage vB_SdyS-ISF003	NCBI_only	2489146	.
Helicobacter phage phiHP33	NCBI_only	1069378	.
Mycobacterium phage MiaZeal	NCBI_only	1567005	.
Bacillus phage BM5	NCBI_only	1755679	.
Chicken chapparvovirus 1	NCBI_only	2109366	.
Schefflera ringspot virus	Both	2169729	2019.v1.5719
RV-Tiger salamander	NCBI_only	378383	.
Skokie dicistro-like virus	NCBI_only	2789443	.
Rheinheimera phage vB_RspM_Barba2S	NCBI_only	2565680	.
Burkholderia phage Bups phi1	NCBI_only	489258	.
Hantavirus YN06-813	NCBI_only	1093956	.
Streptococcus phage Javan26	NCBI_only	2548077	.
Streptococcus phage Javan25	NCBI_only	2548071	.
Hantavirus 2306 Biritiba Mirim	NCBI_only	587490	.
Caliciviridae bovine/DijonA051/05/FR	NCBI_only	760895	.
Streptococcus phage Javan20	NCBI_only	2548044	.
Murine herpesvirus	NCBI_only	1431748	.
Klebsiella phage P13	NCBI_only	1311572	.
Gungahlin Chrysomya noda-like virus	NCBI_only	2716747	.
Moraxella phage Mcat30	NCBI_only	1647547	.
Streptococcus phage Javan29	NCBI_only	2548095	.
Streptococcus phage Javan28	NCBI_only	2548092	.
Avian rotavirus turkey/Minnesota/B5018/2008	NCBI_only	639275	.
Papiine alphaherpesvirus 2	Both	340907	2019.v1.34
Clinch totivirus 1	NCBI_only	2767024	.
Varroa destructor Macula-like virus	NCBI_only	1005993	.
Bacillus phage BCJA1c	NCBI_only	294382	.
Pseudomonas virus CEBDP1	Both	2560659	2019.v1.1078
Crucivirus-291	NCBI_only	2761262	.
Mott virus	NCBI_only	2707244	.
